reseña,oraciones_tokenizadas,rating,cluster
"Esta caja de contenido de transmisión tiene un gran impacto para su tamaño. Muy receptivo a sus comandos, ya sea que use el control remoto de mano o la activación por voz. Muy fácil de configurar, registrar y usar. Parte del contenido es un poco engañoso, ya que debe buscar el banner principal; de lo contrario, debe comprar para verlo, lo que fue una sorpresa para mí, ya que cuando vi todas las selecciones, estaba entusiasmado con todas las ofertas. Algunas de las películas que quería ver ni siquiera estaban disponibles. Pero todavía hay muchas otras cosas para ver. Lo probaré durante un año para ver si realmente vale la pena, pero parece estar bien hasta ahora cuando traes contenido de música y envío gratis de 2 días en el paquete.","['esta caja de contenido de transmisión tiene un gran impacto para su tamaño . muy receptivo a sus comandos , ya sea que use el control remoto de mano o la activación por voz . muy fácil de configurar , registrar y usar . parte del contenido es un poco engañoso , ya que debe buscar el banner principal ; de lo contrario , debe comprar para verlo , lo que fue una sorpresa para mí , ya que cuando vi todas las selecciones , estaba entusiasmado con todas las ofertas . algunas de las películas que quería ver ni siquiera estaban disponibles . pero todavía hay muchas otras cosas para ver . lo probaré durante un año para ver si realmente vale la pena , pero parece estar bien hasta ahora cuando traes contenido de música y envío gratis de dos días en el paquete .']",5.0,1
"Hermosa pantalla, color vibrante, rápido y la mejor calidad por el dinero.","['hermosa pantalla , color vibrante , rápido y la mejor calidad por el dinero .']",5.0,0
Gran dispositivo. Buena calidad de sonido en un altavoz. Súper conveniente.,['gran dispositivo . buena calidad de sonido en un altavoz . súper conveniente .'],5.0,0
"No debería haber mucho que pueda salir mal con un adaptador de CA, y este no es una excepción.","['no debería haber mucho que pueda salir mal con un adaptador de ca , y este no es una excepción .']",5.0,1
"Este es el cuarto de estos que compro. Mis nietos los aman. Entre el año de programación y los dos años de garantía, no creo que haya mejor tablet en el mercado para niños. Excelente producto y funciona muy bien con los niños en cualquier nivel en el que se encuentren.","['este es el cuarto de estos que compro . mis nietos los aman . entre el año de programación y los dos años de garantía , no creo que haya mejor tablet en el mercado para niños . excelente producto y funciona muy bien con los niños en cualquier nivel en el que se encuentren .']",5.0,1
"Lo compramos solo por diversión, pero ahora no podemos vivir sin él. Tenemos 3 y los usamos todos los días. Confía en mí compra y Alexa te encantará","['lo compramos solo por diversión , pero ahora no podemos vivir sin él . tenemos tres y los usamos todos los días . confía en mí compra y alexa te encantará']",5.0,1
Kindle Paprrwjite es el mejor lector electrónico que existe. ¡A por ello!,['kindle paprrwjite es el mejor lector electrónico que existe . a por ello !'],5.0,0
"Soy un ávido lector... Tengo 7 Kindles diferentes, incluidos Oasis y Voyage. ¡El Paperwhite se convirtió rápidamente en mi favorito! ¡¡¡La duración de la batería es excepcional!!!","['soy un ávido lector ... tengo siete kindles diferentes , incluidos oasis y voyage . el paperwhite se convirtió rápidamente en mi favorito ! la duración de la batería es excepcional ! ! !']",5.0,1
"Pensé que esto sería demasiado avanzado para mi hija de 3 años, pero a ella le encanta. Fácil para ella navegar y aprender paciencia. Los juegos, libros y aplicaciones son excelentes para el rango de edad. Los controles parentales la han mantenido honesta.","['pensé que esto sería demasiado avanzado para mi hija de tres años , pero a ella le encanta . fácil para ella navegar y aprender paciencia . los juegos , libros y aplicaciones son excelentes para el rango de edad . los controles parentales la han mantenido honesta .']",5.0,1
A mi esposa le encanta esta tableta. Fue un regalo de Navidad anticipado,['a mi esposa le encanta esta tableta . fue un regalo de navidad anticipado'],5.0,1
"No estaba contento cuando mi Kindle paperwhite original falló después de que expiró el período de garantía, pero me encantó la duración de la batería y la legibilidad en casi todos los entornos.","['no estaba contento cuando mi kindle paperwhite original falló después de que expiró el período de garantía , pero me encantó la duración de la batería y la legibilidad en casi todos los entornos .']",5.0,1
Alexa es tan simple de configurar y tan divertido de usar. Nos encanta y lo usamos todo el tiempo. Lo guardamos en la cocina para que sea fácilmente accesible.,['alexa es tan simple de configurar y tan divertido de usar . nos encanta y lo usamos todo el tiempo . lo guardamos en la cocina para que sea fácilmente accesible .'],5.0,0
"El Kindle Fire es una gran tableta por el precio. Bonita pantalla, bastante fácil de usar, muchos juegos y aplicaciones. Este fue un regalo para mi mamá que no es muy experta en tecnología y le gusta mucho.","['el kindle fire es una gran tableta por el precio . bonita pantalla , bastante fácil de usar , muchos juegos y aplicaciones . este fue un regalo para mi mamá que no es muy experta en tecnología y le gusta mucho .']",5.0,0
Este es mi Kindle 4 y vale la pena el precio.,['este es mi kindle cuatro y vale la pena el precio .'],5.0,0
"He tenido uno de estos antes, pero lo perdí en el divorcio. Felizmente compré otro. Son tan fáciles de transportar y la configuración es trivial.","['he tenido uno de estos antes , pero lo perdí en el divorcio . felizmente compré otro . son tan fáciles de transportar y la configuración es trivial .']",5.0,1
Funciona como advirtized y. Best Buy lo tenía en stock en mi tienda más cercana,['funciona como advirtized y. best buy lo tenía en stock en mi tienda más cercana'],5.0,1
Tengo esto para reemplazar uno que rompí. Elegí este porque me encanta el color.,['tengo esto para reemplazar uno que rompí . elegí este porque me encanta el color .'],5.0,1
El peso y las pulgadas de la tableta son convenientes para viajar.,['el peso y las pulgadas de la tableta son convenientes para viajar .'],5.0,0
¡A mi hija le encanta y no se puede superar la garantía!,['a mi hija le encanta y no se puede superar la garantía !'],5.0,0
Este es el mejor asistente del mercado. El reconocimiento de voz es genial.,['este es el mejor asistente del mercado . el reconocimiento de voz es genial .'],5.0,0
"Este control remoto es especialmente bueno para aquellos que tienen la vista más débil debido al envejecimiento. Lo obtuve como un regalo para alguien, y hace que la búsqueda de canales sea más fácil para las personas mayores.","['este control remoto es especialmente bueno para aquellos que tienen la vista más débil debido al envejecimiento . lo obtuve como un regalo para alguien , y hace que la búsqueda de canales sea más fácil para las personas mayores .']",5.0,1
"Compré varias de estas tabletas durante las vacaciones como regalo. A todo el mundo le encanta el FireHD8, especialmente aquellos con membresías principales. Lo único que lamento es no haber comprado uno para mí.","['compré varias de estas tabletas durante las vacaciones como regalo . a todo el mundo le encanta el firehd8 , especialmente aquellos con membresías principales . lo único que lamento es no haber comprado uno para mí .']",5.0,1
"Quería algo para acceder a Netflix en mi televisor anterior y este es un excelente dispositivo fácil y rápido, pero es mucho más. Tengo una cuenta de Amazon y también puedo acceder a mi biblioteca de videos y títulos bajo demanda. También hay otras aplicaciones y canales de TV disponibles, si agregan un par de canales más, consideraría cancelar mi cable.","['quería algo para acceder a netflix en mi televisor anterior y este es un excelente dispositivo fácil y rápido , pero es mucho más . tengo una cuenta de amazon y también puedo acceder a mi biblioteca de videos y títulos bajo demanda . también hay otras aplicaciones y canales de tv disponibles , si agregan un par de canales más , consideraría cancelar mi cable .']",5.0,0
Fácil de usar e instalar. Me encanta. Puedo transmitir casi todo.,['fácil de usar e instalar . me encanta . puedo transmitir casi todo .'],5.0,0
"Este kindle ha sido genial, actualicé desde un kindle original y no he mirado hacia atrás. Creo que si tienes uno de los paperwhite con luz de fondo, es posible que no veas lo suficiente para actualizar.","['este kindle ha sido genial , actualicé desde un kindle original y no he mirado hacia atrás . creo que si tienes uno de los paperwhite con luz de fondo , es posible que no veas lo suficiente para actualizar .']",5.0,1
He tenido al menos tres Amazon Fires y he estado muy contento con cada uno.,['he tenido al menos tres amazon fires y he estado muy contento con cada uno .'],5.0,1
Esta tableta tiene el tamaño y la potencia perfectos para cualquier trabajo o uso doméstico.,['esta tableta tiene el tamaño y la potencia perfectos para cualquier trabajo o uso doméstico .'],5.0,0
¡Obtienes una tableta multitarea por un precio increíble!,['obtienes una tableta multitarea por un precio increíble !'],5.0,0
Fácil de configurar. Tiene un gran sonido. Es bueno hablar también.,['fácil de configurar . tiene un gran sonido . es bueno hablar también .'],5.0,0
Gran adición a mi sistema de entretenimiento en el hogar. Recomendaría.,['gran adición a mi sistema de entretenimiento en el hogar . recomendaría .'],5.0,1
"Prefiero los lectores electrónicos deficados a las tabletas para leer. Tengo este Paoerwhite y un Nook Glow Light de generación actual. Me gusta mucho el Glow Light, especialmente su construcción robusta, y todavía lo uso, pero el Paperwhite es mejor. El Glow Light no tiene bisel y tiene un botón sensible al tacto en el frente. Esto significa que paso constantemente la página o vuelvo a la pantalla de inicio por accidente. Es muy molesto, y me cuesta encontrar una manera cómoda de sostenerlo. Parece que siempre estoy pensando en dónde están mis dedos. No tengo este problema en absoluto en el Paperwhite. El Paperwhite es un gran pequeño lector por el dinero. Definitivamente compraría otro.","['prefiero los lectores electrónicos deficados a las tabletas para leer . tengo este paoerwhite y un nook glow light de generación actual . me gusta mucho el glow light , especialmente su construcción robusta , y todavía lo uso , pero el paperwhite es mejor . el glow light no tiene bisel y tiene un botón sensible al tacto en el frente . esto significa que paso constantemente la página o vuelvo a la pantalla de inicio por accidente . es muy molesto , y me cuesta encontrar una manera cómoda de sostenerlo . parece que siempre estoy pensando en dónde están mis dedos . no tengo este problema en absoluto en el paperwhite . el paperwhite es un gran pequeño lector por el dinero . definitivamente compraría otro .']",5.0,1
"He comprado uno y lo encontré increíble. Compré el segundo para mi padre, que lo encuentra divertido.","['he comprado uno y lo encontré increíble . compré el segundo para mi padre , que lo encuentra divertido .']",5.0,1
Esta tableta funciona como se esperaba. Recomendaría esta tableta a cualquier persona que necesite una tableta nueva con una batería de gran duración.,['esta tableta funciona como se esperaba . recomendaría esta tableta a cualquier persona que necesite una tableta nueva con una batería de gran duración .'],5.0,0
¡Un gran regalo para una tía de 65 años! ¡Lo usa todos los días!,['un gran regalo para una tía de sesenta y cinco años ! lo usa todos los días !'],5.0,1
Este artículo es genial para mí y mi familia. ¡Recientemente comenzamos a buscar formas innovadoras de ver televisión y encontramos que este producto es beneficioso!,['este artículo es genial para mí y mi familia . recientemente comenzamos a buscar formas innovadoras de ver televisión y encontramos que este producto es beneficioso !'],5.0,0
Fire TV funciona muy bien para películas y programas de televisión. Descarga la APLICACIÓN KODI y abre cientos de películas y programas.,['fire tv funciona muy bien para películas y programas de televisión . descarga la aplicación kodi y abre cientos de películas y programas .'],5.0,0
"Tenía un Kindle muy, muy viejo, así que esto fue un gran cambio. Como el tamaño, el papel blanco (no pensé que lo haría) y la retroiluminación...","['tenía un kindle muy , muy viejo , así que esto fue un gran cambio . como el tamaño , el papel blanco ( no pensé que lo haría ) y la retroiluminación ...']",5.0,1
¡Estoy más impresionado con esto que lo que he anticipado! ¡Alexa ha sido muy útil en la casa desde la música hasta el temporizador de cocina y 20 preguntas con mi hijo! ¡Ahora nos estamos abasteciendo de artículos para el hogar inteligente que funcionan con él!,['estoy más impresionado con esto que lo que he anticipado ! alexa ha sido muy útil en la casa desde la música hasta el temporizador de cocina y veinte preguntas con mi hijo ! ahora nos estamos abasteciendo de artículos para el hogar inteligente que funcionan con él !'],5.0,1
"Absolutamente me encanta Kindle Kids Edition. Fácil de usar. Excelentes aplicaciones y me encanta, viene con 2 años de garantía. Debe tener para mis 2 hijos.","['absolutamente me encanta kindle kids edition . fácil de usar . excelentes aplicaciones y me encanta , viene con dos años de garantía . debe tener para mis dos hijos .']",5.0,0
La calidad de imagen es mucho mejor que la de mi viejo lector.,['la calidad de imagen es mucho mejor que la de mi viejo lector .'],5.0,1
"Después de recibir otra factura de cable extremadamente alta, ¡decidí cortar el cable! El incendio del Amazonas es impresionante. Nos suscribimos a Playstation Vue, que tiene una aplicación en Fire a la que puede acceder. También podemos acceder a nuestras cuentas de Amazon y Netflix directamente desde Fire. Gran producto, ojalá lo hubiera hecho antes.","['después de recibir otra factura de cable extremadamente alta , decidí cortar el cable ! el incendio del amazonas es impresionante . nos suscribimos a playstation vue , que tiene una aplicación en fire a la que puede acceder . también podemos acceder a nuestras cuentas de amazon y netflix directamente desde fire . gran producto , ojalá lo hubiera hecho antes .']",5.0,1
"Este altavoz tiene un gran sonido y es perfecto para salir al patio o en cualquier habitación en la que me encuentre. El toque es molesto en comparación con el Echo con activación por voz, pero las funciones inalámbricas hacen que la compra valga la pena.","['este altavoz tiene un gran sonido y es perfecto para salir al patio o en cualquier habitación en la que me encuentre . el toque es molesto en comparación con el echo con activación por voz , pero las funciones inalámbricas hacen que la compra valga la pena .']",5.0,0
Realmente es una buena tableta. Funciona muy bien y es delgada y fácil de sostener.,['realmente es una buena tableta . funciona muy bien y es delgada y fácil de sostener .'],5.0,0
"Ordenar esto en línea para recogerlo en la tienda fue fácil hasta que llegué a la tienda donde, como de costumbre, había trabajadores esperando pero tuve que esperar varios minutos para que alguien se dirigiera a mí en el mostrador de recogida y luego tuve que esperar para pagar para ello en los registros. Hubiera pensado que podría comprarlo en el centro de recogida. Honestamente, si no fuera por el mayor riesgo de artículos de entrega robados durante la temporada navideña, probablemente me habría ido con Amazon para comprar el Kindle. (El precio era el mismo a través de ambos minoristas).","['ordenar esto en línea para recogerlo en la tienda fue fácil hasta que llegué a la tienda donde , como de costumbre , había trabajadores esperando pero tuve que esperar varios minutos para que alguien se dirigiera a mí en el mostrador de recogida y luego tuve que esperar para pagar para ello en los registros . hubiera pensado que podría comprarlo en el centro de recogida . honestamente , si no fuera por el mayor riesgo de artículos de entrega robados durante la temporada navideña , probablemente me habría ido con amazon para comprar el kindle . ( el precio era el mismo a través de ambos minoristas ) .']",5.0,1
El Amazon Fire Tv es simplemente increíble. Tiene más de 50 aplicaciones para ver programas de televisión y películas. No hay nada que esta cosa no tenga cuando se trata de aplicaciones de transmisión.,['el amazon fire tv es simplemente increíble . tiene más de cincuenta aplicaciones para ver programas de televisión y películas . no hay nada que esta cosa no tenga cuando se trata de aplicaciones de transmisión .'],5.0,0
"Tuve uno de los Kindles originales durante unos 5 años y lo disfruté mucho. Después de que me lo robaran de mi oficina, obtuve el Kindle Paperwhite. Aparte de tener que acostumbrarme a hacer todo con la pantalla táctil, me gusta incluso más que mi antiguo Kindle. Me gusta especialmente la luz de fondo. Y, por supuesto, tener todo almacenado en la nube significó que no perdí todos mis libros comprados anteriormente. Desearía que tuviera varias imágenes estáticas para mostrar cuando se apagara como lo hacía el viejo Kindle. Espero que quien robó mi viejo Kindle disfrute de su nuevo pisapapeles porque eso es todo para lo que sirve excepto para los libros que ya tiene. Lo bloqueé tan pronto como descubrí que faltaba.","['tuve uno de los kindles originales durante unos cinco años y lo disfruté mucho . después de que me lo robaran de mi oficina , obtuve el kindle paperwhite . aparte de tener que acostumbrarme a hacer todo con la pantalla táctil , me gusta incluso más que mi antiguo kindle . me gusta especialmente la luz de fondo . y , por supuesto , tener todo almacenado en la nube significó que no perdí todos mis libros comprados anteriormente . desearía que tuviera varias imágenes estáticas para mostrar cuando se apagara como lo hacía el viejo kindle . espero que quien robó mi viejo kindle disfrute de su nuevo pisapapeles porque eso es todo para lo que sirve excepto para los libros que ya tiene . lo bloqueé tan pronto como descubrí que faltaba .']",5.0,1
"ME ENCANTA esta pequeña tablet, tanto que he comprado varias para regalar. Solo necesita comprar la pequeña tarjeta Micro SD de 32 GB y tendrá una excelente tableta pequeña, ideal para transmisión, netflix, correos electrónicos, FB, juegos, películas, música, ¡cualquier cosa!","['me encanta esta pequeña tablet , tanto que he comprado varias para regalar . solo necesita comprar la pequeña tarjeta micro sd de treinta y dos gb y tendrá una excelente tableta pequeña , ideal para transmisión , netflix , correos electrónicos , fb , juegos , películas , música , cualquier cosa !']",5.0,0
"Fuera de la caja, realmente no hay nada que hacer más que conectarlo a la unidad USB y ya está listo para comenzar. Aparece un recordatorio emergente que le pregunta si desea utilizar la unidad como copia de seguridad. Si selecciona sí o no, será la última vez que lo vea. Si dice ""decidir más tarde"", aparecerá cada vez que lo conecte a la unidad USB.","['fuera de la caja , realmente no hay nada que hacer más que conectarlo a la unidad usb y ya está listo para comenzar . aparece un recordatorio emergente que le pregunta si desea utilizar la unidad como copia de seguridad . si selecciona sí o no , será la última vez que lo vea . si dice "" decidir más tarde "" , aparecerá cada vez que lo conecte a la unidad usb .']",5.0,1
¡Tantas cosas increíbles que hacer con Alexa! Asegúrate de leer sobre esto,['tantas cosas increíbles que hacer con alexa ! asegúrate de leer sobre esto'],5.0,0
Es una forma fabulosa de incorporar la tecnología de televisión inteligente en una televisión inteligente anterior que funciona bien. Excelentes funciones y excelente sonido. ¡Alucina con Apple TV!,['es una forma fabulosa de incorporar la tecnología de televisión inteligente en una televisión inteligente anterior que funciona bien . excelentes funciones y excelente sonido . alucina con apple tv !'],5.0,0
Fácil de usar y muy rápido. Como el hecho de que puedes ampliar la memoria a través de una tarjeta mini sd.,['fácil de usar y muy rápido . como el hecho de que puedes ampliar la memoria a través de una tarjeta mini sd .'],5.0,0
A mi hijo le encanta su kindle fire. Lo usa todos los días.,['a mi hijo le encanta su kindle fire . lo usa todos los días .'],5.0,1
Fácil de usar y actualizar. Bueno para niños y adultos por igual.,['fácil de usar y actualizar . bueno para niños y adultos por igual .'],5.0,0
"La configuración fue muy fácil, la carcasa resistente es impresionante y la selección de libros, juegos y películas para los niños es fantástica. ¡La garantía de dos años sin preguntas lo hace aún mejor!","['la configuración fue muy fácil , la carcasa resistente es impresionante y la selección de libros , juegos y películas para los niños es fantástica . la garantía de dos años sin preguntas lo hace aún mejor !']",5.0,0
Mi segundo fuego Kindle. Está a la altura de la descripción de Amazon,['mi segundo fuego kindle . está a la altura de la descripción de amazon'],5.0,1
La tableta es genial. Fácil de usar. A buen precio,['la tableta es genial . fácil de usar . a buen precio'],5.0,0
"El Kindle Paperwhite de Amazon sigue siendo el rey de los lectores electrónicos. Tengo una versión anterior que todavía disfruto y era hora de traer otro Kindle a la casa por mi prometida. A ella le encanta la experiencia que brinda el Kindle Paperwhite por la misma razón que a mí, elimina muchos reflejos e imita de cerca a un libro real. Esta es una creación perfecta que combina la experiencia clásica de leer un libro con la comodidad moderna de una tableta. A+ Amazon, un maldito +.","['el kindle paperwhite de amazon sigue siendo el rey de los lectores electrónicos . tengo una versión anterior que todavía disfruto y era hora de traer otro kindle a la casa por mi prometida . a ella le encanta la experiencia que brinda el kindle paperwhite por la misma razón que a mí , elimina muchos reflejos e imita de cerca a un libro real . esta es una creación perfecta que combina la experiencia clásica de leer un libro con la comodidad moderna de una tableta . a+ amazon , un maldito + .']",5.0,1
¡Gran dispositivo! Respuesta rápida con control remoto. Gran reconocimiento de voz! Muy confiable en términos de conectividad. Streaming 4k es una gran ventaja. Gran producto en general.,['gran dispositivo ! respuesta rápida con control remoto . gran reconocimiento de voz ! muy confiable en términos de conectividad . streaming 4k es una gran ventaja . gran producto en general .'],5.0,0
Tengo esto para mi hijo de 10 años. Ideal para leer libros y jugar juegos. No se puede superar el precio.,['tengo esto para mi hijo de diez años . ideal para leer libros y jugar juegos . no se puede superar el precio .'],5.0,1
Gran producto construido estructuralmente sólido sin problemas y comprado 2.,['gran producto construido estructuralmente sólido sin problemas y comprado dos .'],5.0,0
Funciona muy bien para niños y personas de todas las edades.,['funciona muy bien para niños y personas de todas las edades .'],5.0,0
"Me encanta usar este Kindle para buscar ventas de bienes raíces, jugar juegos mentales y tomar fotografías. Me encanta la pantalla más grande y la gran resolución. El sonido también es muy superior al de mi viejo modelo Lindle.","['me encanta usar este kindle para buscar ventas de bienes raíces , jugar juegos mentales y tomar fotografías . me encanta la pantalla más grande y la gran resolución . el sonido también es muy superior al de mi viejo modelo lindle .']",5.0,0
El mejor artículo electrónico en casa. Gran compra. Bien,['el mejor artículo electrónico en casa . gran compra . bien'],5.0,0
"Nunca tuve una tableta antes, pero me encanta hasta ahora.","['nunca tuve una tableta antes , pero me encanta hasta ahora .']",5.0,1
Lo compré para regalo de Navidad para nuera. A ella le encanta e incluso obtuve un mejor precio que en Amazon y ¡DISPONIBLE en la tienda antes de Navidad!,['lo compré para regalo de navidad para nuera . a ella le encanta e incluso obtuve un mejor precio que en amazon y disponible en la tienda antes de navidad !'],5.0,1
"Me encanta este dispositivo de transmisión. Tengo membresía principal, toneladas de cosas gratis para ver. Calidad de imagen muy clara y nítida. Excelente por el precio, muchas aplicaciones disponibles. Consíguelo, te encantará.","['me encanta este dispositivo de transmisión . tengo membresía principal , toneladas de cosas gratis para ver . calidad de imagen muy clara y nítida . excelente por el precio , muchas aplicaciones disponibles . consíguelo , te encantará .']",5.0,0
He probado varias cajas de tv pero esta es hasta ahora la mejor,['he probado varias cajas de tv pero esta es hasta ahora la mejor'],5.0,1
Era hora de actualizar y estoy feliz con mi elección.,['era hora de actualizar y estoy feliz con mi elección .'],5.0,1
¡¡Nos gusta!! Lo compraría de nuevo. Todavía estoy aprendiendo sobre sus características. Buen valor,['nos gusta ! ! lo compraría de nuevo . todavía estoy aprendiendo sobre sus características . buen valor'],5.0,1
"El Kindle Paper White es el regalo perfecto para cualquier persona. Mi mamá tenía el Kindle original y se rompió hace poco. Cuando estaba buscando uno nuevo para ella, miré otros Kindles y lectores de libros electrónicos. No era fanático del Nook y el Kindle Fire es excelente, pero ella quería algo simple para leer, así que no necesitaba la conexión a Internet. Después de jugar con Paper White en la tienda, decidí que era perfecto para ella. Ella no es la mejor con la tecnología, pero después de que le mostré cómo usarla una vez que pudo usarla por su cuenta. ¡Gran regalo para cualquier persona!","['el kindle paper white es el regalo perfecto para cualquier persona . mi mamá tenía el kindle original y se rompió hace poco . cuando estaba buscando uno nuevo para ella , miré otros kindles y lectores de libros electrónicos . no era fanático del nook y el kindle fire es excelente , pero ella quería algo simple para leer , así que no necesitaba la conexión a internet . después de jugar con paper white en la tienda , decidí que era perfecto para ella . ella no es la mejor con la tecnología , pero después de que le mostré cómo usarla una vez que pudo usarla por su cuenta . gran regalo para cualquier persona !']",5.0,1
"Como lector de libros electrónicos, este es absolutamente el mejor en el mercado en este momento, muy fácil de usar. Ahora, el único inconveniente es que la sensación de la pantalla táctil es demasiado áspera.","['como lector de libros electrónicos , este es absolutamente el mejor en el mercado en este momento , muy fácil de usar . ahora , el único inconveniente es que la sensación de la pantalla táctil es demasiado áspera .']",5.0,0
Muy satisfecho con la tableta pequeña. Más grande que mi teléfono para poder ver las cosas mejor cuando juego y busco cosas en Internet.,['muy satisfecho con la tableta pequeña . más grande que mi teléfono para poder ver las cosas mejor cuando juego y busco cosas en internet .'],5.0,0
"Compré el kindle para mi hijo, va a la universidad que le gusta.","['compré el kindle para mi hijo , va a la universidad que le gusta .']",5.0,1
"Esto es genial para un niño de 8 años. Ella había crecido más que su Nabi y le gusta tomar fotos, esto hace el truco. La memoria se puede ampliar para almacenar más imágenes. Gran tableta.","['esto es genial para un niño de ocho años . ella había crecido más que su nabi y le gusta tomar fotos , esto hace el truco . la memoria se puede ampliar para almacenar más imágenes . gran tableta .']",5.0,0
"por el precio, esta es una victoria sólida. Nada supera a esta tableta por el precio que está pagando. un robo de un dispositivo.","['por el precio , esta es una victoria sólida . nada supera a esta tableta por el precio que está pagando . un robo de un dispositivo .']",5.0,1
